name,category,subcategory,city,state,country,website_url,store_url,gift_shop_url,online_store_url,vendor_application_url,wholesale_url,contact_page_url,general_email,correct_business_email,retail_contact_name,retail_contact_title,retail_contact_email,partnership_contact_name,partnership_contact_email,procurement_contact_email,phone,LinkedIn,Instagram,TikTok,YouTube,source_url,source_type,evidence_notes,recommended_product_angle,opportunity_score,confidence_score,outreach_status,personalized_email_draft
The Metropolitan Museum of Art,Museums & Cultural Institutions,Art museum,New York,NY,US,https://www.metmuseum.org,https://store.metmuseum.org/,https://store.metmuseum.org/,https://store.metmuseum.org/,,,https://www.metmuseum.org/about-the-met/contact,,,,Museum store / retail partnerships,,,,,+1 212-535-7710,https://www.linkedin.com/company/the-metropolitan-museum-of-art/,https://www.instagram.com/metmuseum/,,,https://store.metmuseum.org/,official_store,official Met Store with broad collection-based merchandise and strong global visitor audience,museum gift capsule,96,95,manual_review,"Hi The Metropolitan Museum of Art team,

I noticed official Met Store with broad collection-based merchandise and strong global visitor audience. Auctus Lab designs premium cultural merchandise, city gifts, and limited-edition products for institutions with strong visitor, community, or brand stories.

One idea that may fit your audience is a museum gift capsule. We can develop a small custom capsule around a collection, landmark, event, or seasonal campaign and keep the concept retail-ready for gift shops or partner programs.

Would it be worth a brief introductory call to see whether this could fit an upcoming retail, event, or gifting priority?

Best,
Auctus Lab"
The Museum of Modern Art,Museums & Cultural Institutions,Modern art museum,New York,NY,US,https://www.moma.org,https://store.moma.org/,https://store.moma.org/,https://store.moma.org/,,,https://www.moma.org/about/contact,,,,Design store retail team,,,,,+1 212-708-9400,https://www.linkedin.com/company/the-museum-of-modern-art/,https://www.instagram.com/themuseumofmodernart/,,,https://store.moma.org/,official_store,MoMA Design Store is a leading museum retail model with design-forward gift products,limited-edition design merchandise,97,96,manual_review,"Hi The Museum of Modern Art team,

I noticed MoMA Design Store is a leading museum retail model with design-forward gift products. Auctus Lab designs premium cultural merchandise, city gifts, and limited-edition products for institutions with strong visitor, community, or brand stories.

One idea that may fit your audience is a limited-edition design merchandise. We can develop a small custom capsule around a collection, landmark, event, or seasonal campaign and keep the concept retail-ready for gift shops or partner programs.

Would it be worth a brief introductory call to see whether this could fit an upcoming retail, event, or gifting priority?

Best,
Auctus Lab"
Art Institute of Chicago,Museums & Cultural Institutions,Art museum,Chicago,IL,US,https://www.artic.edu,https://shop.artic.edu/,https://shop.artic.edu/,https://shop.artic.edu/,,,https://www.artic.edu/contact,,,,Museum shop retail team,,,,,+1 312-443-3600,https://www.linkedin.com/company/art-institute-of-chicago/,https://www.instagram.com/artinstitutechi/,,,https://shop.artic.edu/,official_store,official museum shop and large encyclopedic art collection,museum gift capsule,94,94,manual_review,"Hi Art Institute of Chicago team,

I noticed official museum shop and large encyclopedic art collection. Auctus Lab designs premium cultural merchandise, city gifts, and limited-edition products for institutions with strong visitor, community, or brand stories.

One idea that may fit your audience is a museum gift capsule. We can develop a small custom capsule around a collection, landmark, event, or seasonal campaign and keep the concept retail-ready for gift shops or partner programs.

Would it be worth a brief introductory call to see whether this could fit an upcoming retail, event, or gifting priority?

Best,
Auctus Lab"
J. Paul Getty Museum,Museums & Cultural Institutions,Art museum,Los Angeles,CA,US,https://www.getty.edu,https://shop.getty.edu/,https://shop.getty.edu/,https://shop.getty.edu/,,,https://www.getty.edu/about/contact_us.html,,,,Museum store retail team,,,,,+1 310-440-7300,https://www.linkedin.com/company/getty-museum/,https://www.instagram.com/gettymuseum/,,,https://shop.getty.edu/,official_store,official Getty shop and premium art/culture visitor base,museum gift capsule,92,92,manual_review,"Hi J. Paul Getty Museum team,

I noticed official Getty shop and premium art/culture visitor base. Auctus Lab designs premium cultural merchandise, city gifts, and limited-edition products for institutions with strong visitor, community, or brand stories.

One idea that may fit your audience is a museum gift capsule. We can develop a small custom capsule around a collection, landmark, event, or seasonal campaign and keep the concept retail-ready for gift shops or partner programs.

Would it be worth a brief introductory call to see whether this could fit an upcoming retail, event, or gifting priority?

Best,
Auctus Lab"
Smithsonian Institution,Museums & Cultural Institutions,Museum network,Washington,DC,US,https://www.si.edu,https://www.smithsonianstore.com/,https://www.smithsonianstore.com/,https://www.smithsonianstore.com/,,,https://www.si.edu/contact,,,,Smithsonian Store retail team,,,,,+1 202-633-1000,https://www.linkedin.com/company/smithsonian-institution/,https://www.instagram.com/smithsonian/,,,https://www.smithsonianstore.com/,official_store,national museum network with official online store and education audience,children's educational gift,91,92,manual_review,"Hi Smithsonian Institution team,

I noticed national museum network with official online store and education audience. Auctus Lab designs premium cultural merchandise, city gifts, and limited-edition products for institutions with strong visitor, community, or brand stories.

One idea that may fit your audience is a children's educational gift. We can develop a small custom capsule around a collection, landmark, event, or seasonal campaign and keep the concept retail-ready for gift shops or partner programs.

Would it be worth a brief introductory call to see whether this could fit an upcoming retail, event, or gifting priority?

Best,
Auctus Lab"
Whitney Museum of American Art,Museums & Cultural Institutions,Contemporary art museum,New York,NY,US,https://whitney.org,https://shop.whitney.org/,https://shop.whitney.org/,https://shop.whitney.org/,,,,,,,Museum shop retail team,,,,,,,https://www.instagram.com/whitneymuseum/,,,https://shop.whitney.org/,official_store,contemporary art museum with official online shop,museum gift capsule,86,88,manual_review,"Hi Whitney Museum of American Art team,

I noticed contemporary art museum with official online shop. Auctus Lab designs premium cultural merchandise, city gifts, and limited-edition products for institutions with strong visitor, community, or brand stories.

One idea that may fit your audience is a museum gift capsule. We can develop a small custom capsule around a collection, landmark, event, or seasonal campaign and keep the concept retail-ready for gift shops or partner programs.

Would it be worth a brief introductory call to see whether this could fit an upcoming retail, event, or gifting priority?

Best,
Auctus Lab"
Solomon R. Guggenheim Museum,Museums & Cultural Institutions,Art museum,New York,NY,US,https://www.guggenheim.org,https://www.guggenheimstore.org/,https://www.guggenheimstore.org/,https://www.guggenheimstore.org/,,,,,,,Museum shop retail team,,,,,,,https://www.instagram.com/guggenheim/,,,https://www.guggenheimstore.org/,official_store,global art museum with official Guggenheim Store,museum gift capsule,86,88,manual_review,"Hi Solomon R. Guggenheim Museum team,

I noticed global art museum with official Guggenheim Store. Auctus Lab designs premium cultural merchandise, city gifts, and limited-edition products for institutions with strong visitor, community, or brand stories.

One idea that may fit your audience is a museum gift capsule. We can develop a small custom capsule around a collection, landmark, event, or seasonal campaign and keep the concept retail-ready for gift shops or partner programs.

Would it be worth a brief introductory call to see whether this could fit an upcoming retail, event, or gifting priority?

Best,
Auctus Lab"
Los Angeles County Museum of Art,Museums & Cultural Institutions,Art museum,Los Angeles,CA,US,https://www.lacma.org,https://www.thelacmastore.org/,https://www.thelacmastore.org/,https://www.thelacmastore.org/,,,,,,,Museum shop retail team,,,,,,,https://www.instagram.com/lacma/,,,https://www.thelacmastore.org/,official_store,major Los Angeles art museum with official store,museum gift capsule,86,88,manual_review,"Hi Los Angeles County Museum of Art team,

I noticed major Los Angeles art museum with official store. Auctus Lab designs premium cultural merchandise, city gifts, and limited-edition products for institutions with strong visitor, community, or brand stories.

One idea that may fit your audience is a museum gift capsule. We can develop a small custom capsule around a collection, landmark, event, or seasonal campaign and keep the concept retail-ready for gift shops or partner programs.

Would it be worth a brief introductory call to see whether this could fit an upcoming retail, event, or gifting priority?

Best,
Auctus Lab"
"Museum of Fine Arts, Boston",Museums & Cultural Institutions,Art museum,Boston,MA,US,https://www.mfa.org,https://mfashop.com/,https://mfashop.com/,https://mfashop.com/,,,,,,,Museum shop retail team,,,,,,,https://www.instagram.com/mfaboston/,,,https://mfashop.com/,official_store,official MFA Shop and strong cultural gift audience,museum gift capsule,86,88,manual_review,"Hi Museum of Fine Arts, Boston team,

I noticed official MFA Shop and strong cultural gift audience. Auctus Lab designs premium cultural merchandise, city gifts, and limited-edition products for institutions with strong visitor, community, or brand stories.

One idea that may fit your audience is a museum gift capsule. We can develop a small custom capsule around a collection, landmark, event, or seasonal campaign and keep the concept retail-ready for gift shops or partner programs.

Would it be worth a brief introductory call to see whether this could fit an upcoming retail, event, or gifting priority?

Best,
Auctus Lab"
Philadelphia Museum of Art,Museums & Cultural Institutions,Art museum,Philadelphia,PA,US,https://philamuseum.org,https://store.philamuseum.org/,https://store.philamuseum.org/,https://store.philamuseum.org/,,,,,,,Museum shop retail team,,,,,,,https://www.instagram.com/philamuseum/,,,https://store.philamuseum.org/,official_store,official online store and strong visitor retail opportunity,museum gift capsule,86,88,manual_review,"Hi Philadelphia Museum of Art team,

I noticed official online store and strong visitor retail opportunity. Auctus Lab designs premium cultural merchandise, city gifts, and limited-edition products for institutions with strong visitor, community, or brand stories.

One idea that may fit your audience is a museum gift capsule. We can develop a small custom capsule around a collection, landmark, event, or seasonal campaign and keep the concept retail-ready for gift shops or partner programs.

Would it be worth a brief introductory call to see whether this could fit an upcoming retail, event, or gifting priority?

Best,
Auctus Lab"
Denver Art Museum,Museums & Cultural Institutions,Art museum,Denver,CO,US,https://www.denverartmuseum.org,https://shop.denverartmuseum.org/,https://shop.denverartmuseum.org/,https://shop.denverartmuseum.org/,,,,,,,Museum shop retail team,,,,,,,https://www.instagram.com/denverartmuseum/,,,https://shop.denverartmuseum.org/,official_store,official museum shop and regional tourism audience,museum gift capsule,86,88,manual_review,"Hi Denver Art Museum team,

I noticed official museum shop and regional tourism audience. Auctus Lab designs premium cultural merchandise, city gifts, and limited-edition products for institutions with strong visitor, community, or brand stories.

One idea that may fit your audience is a museum gift capsule. We can develop a small custom capsule around a collection, landmark, event, or seasonal campaign and keep the concept retail-ready for gift shops or partner programs.

Would it be worth a brief introductory call to see whether this could fit an upcoming retail, event, or gifting priority?

Best,
Auctus Lab"
Nelson-Atkins Museum of Art,Museums & Cultural Institutions,Art museum,Kansas City,MO,US,https://nelson-atkins.org,https://shop.nelson-atkins.org/,https://shop.nelson-atkins.org/,https://shop.nelson-atkins.org/,,,,,,,Museum shop retail team,,,,,,,https://www.instagram.com/nelsonatkins/,,,https://shop.nelson-atkins.org/,official_store,official museum store and collection-based gift fit,museum gift capsule,86,88,manual_review,"Hi Nelson-Atkins Museum of Art team,

I noticed official museum store and collection-based gift fit. Auctus Lab designs premium cultural merchandise, city gifts, and limited-edition products for institutions with strong visitor, community, or brand stories.

One idea that may fit your audience is a museum gift capsule. We can develop a small custom capsule around a collection, landmark, event, or seasonal campaign and keep the concept retail-ready for gift shops or partner programs.

Would it be worth a brief introductory call to see whether this could fit an upcoming retail, event, or gifting priority?

Best,
Auctus Lab"
